term,furigana,definition,notes,warnings,example1,example2
結局,けっきょく,最後の結果として。とうとう。,,,,
決死,けっし,死んでも構わないというほどの決意をすること。,,,,
欠席,けっせき,学校や会合などに行くことを休むこと。,,,かぜで欠席する。,欠席した理由。
結束,けっそく,力を合わせて一つにまとまること。,,,,
潔白,けっぱく,行いが正しく、悪いことをしていない様子。,,,,
原因,げんいん,物事が起こったもととなるもの。,,,,
限界,げんかい,物事の、これ以上はないというぎりぎりのはん囲。,,,,
健康,けんこう,体がじょうぶで元気なこと。また、体や心の状態。,,,,
検査,けんさ,ある基準をもとに、異なるところや悪いところがないか調べること。,,,,
現在,げんざい,今。過去と未来の間。,,,,
厳守,げんしゅ,約束やきまりなどをかたく守ること。,,,,
減少,げんしょう,減って少なくなること。,,,ごみが減少する。,人口が減少する地域。
健全,けんぜん,体がじょうぶな様子。健康な様子。,,,,
源泉,げんせん,水がわき出るもと。,,,,
県庁,けんちょう,県を治める仕事をする役所。,,,,
権利,けんり,あることを自由にできる資格。,,,,
降雨,こうう,雨が降ること。また、降る雨。,,,,
効果,こうか,ききめ。よい結果。,,,,
航海,こうかい,船で海をわたること。,,,,
孝行,こうこう,子どもが親を大切にしてよく仕えること。,,,,
広告,こうこく,世間に広く知らせること。,,,,
耕作,こうさく,田畑を耕して、作物を育てること。,,,,
考察,こうさつ,よく調べ考えること。,,,,
校舎,こうしゃ,学校の建物。,,,学校の校舎。,きれいな校舎。
構成,こうせい,組み立てること。また、組み立てられたもの。,,,作文の構成。,構成を立てる。
紅茶,こうちゃ,茶の一種。茶の若葉を発こうさせ、かんそうさせたもの。,,,,
工程,こうてい,ものを作ったり、仕事を進めたりするときの順序。,,,,
講堂,こうどう,学校などで、大勢の人が集まって、式や会をする大きな部屋。,,,学校の講堂に集まる。,その先に大きな講堂がある。
好評,こうひょう,よい評判や批評。,,,,
興奮,こうふん,気持ちが高ぶること。,,,,
小枝,こえだ,小さくて細い木の枝。,,,,
戸外,こがい,家の外。屋外。,,,,
誤解,ごかい,まちがって理解すること。,,,,
故郷,こきょう,生まれ育った土地。ふるさと。,,,,
国際,こくさい,国と国の関係やつき合い。多くの国に関係すること。,,,,
穀物,こくもつ,米や麦など、人間が主食とする作物。,,,,
誤算,ごさん,見こみをまちがえること。,,,,
故障,こしょう,機械や体の具合が悪くなること。,,,,
