term,furigana,definition,notes,warnings,example1,example2
無料,むりょう,料金がかからないこと。,,,無料のチケットをもらう。,無料のポケットティッシュをもらう。
命令,めいれい,言いつけること。,,,,
迷路,めいろ,迷いやすい道。また、これを図形化した遊び。,,「迷」（めい）という読みは、小学生では習いません。,,
眼鏡,めがね,視力を整えたり、目を守ったりする器具。,,,,
目的,もくてき,物事をするときのめあて。,,,,
目標,もくひょう,目印。めざすもの。目的。,,,,
模型,もけい,実物に似せて作ったもの。,,,,
模写,もしゃ,そっくりにまねて写すこと。,,,,
模様,もよう,かざりとして使われるいろいろな形。,,,,
約束,やくそく,たがいに、先のことについて取り決めること。,,,,
役目,やくめ,あたえられて、しなければならない仕事。,,,,
役割,やくわり,役目を割り当てること。また、その役目。,,,,
野菜,やさい,食べ物として畑に作る植物。,,,,
有益,ゆうえき,利益があること。,,,有益な情報をありがとう。,有益な時間をすごした。
勇気,ゆうき,おじけづかない強い心。,,,,
優勝,ゆうしょう,すぐれたものが、他のものに勝つこと。,,,,
夕飯,ゆうはん,夕方の食事。夕食。,,,,
郵便,ゆうびん,手紙や荷物などを送り届ける制度。,,,,
輸出,ゆしゅつ,国の中で作られた商品を外国に売ること。,,,,
油断,ゆだん,気を許して注意しないこと。,,,,
輸入,ゆにゅう,外国から品物を買い入れること。,,,,
容器,ようき,物を入れるうつわ。,,,,
養蚕,ようさん,蚕を育てて、まゆをとること。,,,,
幼児,ようじ,幼い子。,,,,
幼虫,ようちゅう,虫などの幼生。さなぎや成虫になる前。,,,,
養分,ようぶん,生物が育つために必要なもの。,,,,
要約,ようやく,文章や話の大切なところを短くまとめること。,,,文章を要約する。,これまでの話を要約する。
預金,よきん,金銭を預けること。,,,預金通帳を親にわたす。,おこづかいを銀行に預金する。
翌朝,よくあさ,次の日の朝。あくる朝。,「よくちょう」とも読む。,,,
浴室,よくしつ,ふろ場。,,,,
翌日,よくじつ,次の日。あくる日。,,,,
余計,よけい,ふつうよりも多い様子。,,,,
余分,よぶん,余った分。残り。,,,,
予報,よほう,前もって知らせること。また、その知らせ。,,,,
利益,りえき,商売などのもうけ。,,,,
利害,りがい,利があることと害があること。,,,両者の利害が対立する。,おたがいの利害を考える。
陸上,りくじょう,陸地の上。,,,,
立春,りっしゅん,こよみの上で、春が始まる日のこと。,,,,
留意,りゅうい,心にとどめて、特に気をつけること。,,,,
留学,りゅうがく,一定期間外国などに行って学ぶこと。,,,,
良心,りょうしん,よい行いをしようとする心。,,,,
料理,りょうり,材料をにたり焼いたりして食べ物を作ること。,,,,
臨時,りんじ,必要があってその時だけであること。,,,,
冷気,れいき,ひんやりと冷たい空気。,,,,
歴代,れきだい,何代も経ていること。,,,,
老人,ろうじん,年を取った人。年寄り。,,,,
労働,ろうどう,体や頭脳を使って働くこと。,,,,
朗読,ろうどく,文や詩などを、声に出して読むこと。,,,本を朗読する。,朗読会を開く。
録音,ろくおん,音を記録すること。,,,,
若者,わかもの,年の若い人。青年。,,,,
綿毛,わたげ,綿のようにやわらかい毛。,,,,
