term,furigana,definition,notes,warnings,example1,example2
今年,ことし,今、すごしているこの年。,今年は「こんねん」とも読む。,,,
言葉,ことば,声や文字に表したもの。,,,言葉を知る。,むずかしい言葉。
小麦,こむぎ,パンなどの原料になる穀物。,,,,
根気,こんき,あきないでつづける気力。,,,,
今週,こんしゅう,今、げんざいの週。,,,,
昆虫,こんちゅう,生き物のなかま。とんぼ、ちょうなど。,,「昆」は中学校で習う漢字です。小学生は、「虫」を読み書きできるようにしましょう。,,
今度,こんど,この次。,,,,
酒屋,さかや,酒を売る店。,,,,
作者,さくしゃ,作った人。,,,作者に会う。,大好きな本の作者。
作品,さくひん,作ったもの。,,,書道の作品。,作品をかんせいさせる。
作物,さくもつ,米や野菜など、田畑で作られるもの。,,,,
左右,さゆう,左と右。,,,,
算数,さんすう,数や図形などを学ぶ科目。,,,算数の計算をする。,算数の問題をとく。
寺院,じいん,寺のこと。,,,,
歯科,しか,医学の中で歯にかんすること。,,,,
次回,じかい,この次の回。,,,,
時間,じかん,時の長さ。,,,,
止血,しけつ,出ている血を止めること。,,,,
仕事,しごと,はたらくこと。職業。,,,,
死者,ししゃ,死んだ人。,,,,
時代,じだい,歴史を一定の期間で区切ったもの。,,,,
室内,しつない,部屋の中。,,,,
指定,してい,それを定めること。,,,,
品物,しなもの,あることに使うための物。,,,,
自分,じぶん,その人自身。,,,,
指名,しめい,ある人の名を指ししめすこと。,,,,
地面,じめん,土地の表面。,,,,
弱点,じゃくてん,弱いところ。,,,,
車庫,しゃこ,車を入れておくたてもの。,,,,
写真,しゃしん,カメラでうつしたもの。,,,,
社長,しゃちょう,会社を代表する人。,,,,
自由,じゆう,何にもしばられず、思い通りになること。,,,,
集合,しゅうごう,一か所に集まること。,,,,
住所,じゅうしょ,住んでいる所。,,,,
終点,しゅうてん,いちばん終わりのところ。,,,,
重病,じゅうびょう,命にかかわる重い病気。,,,,
秋分,しゅうぶん,昼と夜の長さが同じになる9月23日ごろ。,,,,
宿題,しゅくだい,家でやるために出す問題。,,,,
出血,しゅっけつ,血が出ること。,,,,
出発,しゅっぱつ,目的地を目指して出かけること。,,,,
首都,しゅと,その国のせいふがある都市。,,,,
主役,しゅやく,劇などで中心になる役。,,,,
春分,しゅんぶん,昼と夜の長さが同じになる3月21日ごろ。,,,,
使用,しよう,人や物を使うこと。,,,,
消火,しょうか,火事を消すこと。,,,,
正月,しょうがつ,一年のはじめの月。,,,,
乗客,じょうきゃく,乗り物にお金をはらって乗る人。,,,,
正午,しょうご,昼の12時。,,,,
正直,しょうじき,うそやごまかしを言わないこと。,,,,
少数,しょうすう,数が少ないこと。,,,,
少年,しょうねん,年のわかい男の子。,,,,
商売,しょうばい,品物を売ったり買ったりすること。,,,,
商品,しょうひん,売るための品物。,,,,
昭和,しょうわ,大正のあとにつづく年号。,,,,
植物,しょくぶつ,生き物のなかま。木や草など。,,,,
助言,じょげん,助けになることを言ってやること。,,,,
女子,じょし,女の子。,,,,
助手,じょしゅ,仕事の手助けをする人。,,,,
暑中,しょちゅう,夏のいちばん暑い間。,,,,
書名,しょめい,本の題名。,,,,
進化,しんか,しだいに高等で、ふくざつなものに変わっていくこと。,,,,
進行,しんこう,ものごとが、じゅんじょよく進むこと。,,,,
真実,しんじつ,本当のこと。,,,,
神社,じんじゃ,神をまつるたてもの。,,,,
新春,しんしゅん,正月。新年。,,,,
新雪,しんせつ,新しくふった雪。,,,,
親切,しんせつ,思いやりがふかいこと。,,,,
新年,しんねん,新しい年。,,,,
心配,しんぱい,気がかりで落ちつかない。,,,,
人物,じんぶつ,人。人がら。,,,,
新聞,しんぶん,出来事などを広く知らせる、いんさつ物。,,,,
親友,しんゆう,信じあっている、なかのよい友達。,,,,
森林,しんりん,木がたくさんしげっている所。,,,,
神話,しんわ,昔からつたわる神々の話。,,,,
水泳,すいえい,水の中で泳ぐこと。,,,プールで水泳をする。,夏の水泳は気持ちいい。
水深,すいしん,水面から底までの深さ。,,,,
水道,すいどう,家々に水を送るしくみ。,,,,
数字,すうじ,数を表す文字。,,,ノートに数字を書く。,姉の好きな数字は７だ。
炭火,すみび,炭でおこした火。,,,,
晴天,せいてん,天気がよいこと。,,,,
青年,せいねん,年のわかい人。,,,,
整理,せいり,きちんとかたづけること。,,,,
世界,せかい,全ての国々や地域。,,,,
石炭,せきたん,大昔の植物が地中で炭になったもの。,,,,
石油,せきゆ,地中にある黒い油。,,,,
世間,せけん,世の中。世の中の人々。,,,,
全国,ぜんこく,その国の全体。,,,,
前進,ぜんしん,前へ進むこと。,,,,
先生,せんせい,学問などを人に教える人。,,,,
全部,ぜんぶ,全て。みんな。,,,,
草原,そうげん,草が生える野原。,,,,
走者,そうしゃ,走る人。マラソン・野球など。,,,,
相談,そうだん,どうすればよかを話し合うこと。,,,,
早朝,そうちょう,朝の早いうち。,,,,
体育,たいいく,運動などを学ぶ科目。,,,体育でさかのぼりをする。,体育の授業。
代金,だいきん,品物に対してしはらうお金。,,,,
大工,だいく,家をたてたり、直したりする人。,,,,
体重,たいじゅう,体の重さ。,,,,
大正,たいしょう,昔の年号。昭和の前の年号。,,,,
大豆,だいず,豆腐、みそ、しょう油などの原料になる豆。,,,,
大地,だいち,広々とした土地。,,,,
台所,だいどころ,食事の用意をする所。,,,,
代表,だいひょう,多くの人に代わる立場の人。,,,,
台風,たいふう,秋頃にやってくる暴風雨。,,,,
題名,だいめい,作品につける名前。,,,本の題名。,作文の題名を考える。
太陽,たいよう,お日さま。,,,,
対話,たいわ,互いに向かい合って話すこと。,,,,
打球,だきゅう,打者が打った球。,,,,
打者,だしゃ,野球でボールを打つ人。,,,,
多数,たすう,数が多いこと。大部分。,,,,
七夕,たなばた,7月7日に行われる星祭り。,,,,
他人,たにん,自分以外のすべての人。,,,,
田畑,たはた,田んぼや畑。,,,,
旅人,たびびと,旅をしている人。,,,,
短気,たんき,せっかちで、すぐ怒ったりする性格。,,,,
男子,だんし,男の子。,,,,
短所,たんしょ,他よりも劣っている点。,,,,
地下,ちか,地面の下。,,,,
地球,ちきゅう,わたしたちのすむ星。,,,,
地区,ちく,あるはんいの区域。,,,,
地形,ちけい,山や川などの様子。,,,,
地上,ちじょう,地面の上。,,,,
地図,ちず,地表の様子を、一定のわりあいにちぢめてしめした図。,,,,
地点,ちてん,あるいちや場所。,,,,
地方,ちほう,国内をいくつかに分けた中の一つ。,,,,
注意,ちゅうい,気をつけること。,,,,
中央,ちゅうおう,真ん中。,,,,
昼食,ちゅうしょく,昼ごはん。,,,,
中心,ちゅうしん,真ん中。,,,,
注目,ちゅうもく,気をつけてよく見ること。,,,,
調子,ちょうし,体などの具合。言葉の言い回し。,,,,
長所,ちょうしょ,とくにすぐれている点。,,,,
朝食,ちょうしょく,朝の食事。,,,,
町内,ちょうない,同じ町の中。,,,,
直線,ちょくせん,まっすぐな線。,,,,
通学,つうがく,学校に通うこと。,,,通学班の班長。,通学で通る道。
通帳,つうちょう,お金の出し入れなどを記入しておく帳面。,,,,
都合,つごう,何かをするときの具合。,,,,
定員,ていいん,決められている人数。,,,,
手形,てがた,手の形を紙におしたもの。,,,,
手紙,てがみ,伝えたいことを書いて相手に送る文書。,,,,
手品,てじな,ふしぎなことをして見せる芸。,,,,
手帳,てちょう,わすれないように書いておく小さな帳面。,,,,
鉄板,てっぱん,鉄の板。,,,,
手本,てほん,習うときにもはんとするもの。,,,,
店員,てんいん,店につとめている人。,,,,
点火,てんか,火をつけること。,,,,
天気,てんき,晴れ、くもり、雨などの空もよう。,,,,
電気,でんき,電球をともしたりするエネルギーの一つ。,,,,
電球,でんきゅう,電気を使った明かりのための球。,,,,
転校,てんこう,他の学校へうつること。,,,転校した友達。,転校生のあいさつ。
電車,でんしゃ,電気でレールの上を走る乗り物。,,,,
電柱,でんちゅう,電線をかけわたす柱。,,,,
電波,でんぱ,テレビ、ラジオなどに使われる空気中などを進む波。,,,,
電話,でんわ,遠くにいる人と話せるそうち。,,,,
東京,とうきょう,日本の首都。,,,,
道具,どうぐ,ふだんの生活で使われるいろいろなもの。,,,,
登校,とうこう,学校に行くこと。,,,元気に登校する。,夏休みの登校日。
動作,どうさ,何かをするときの体の動かし方。,,,,
同時,どうじ,同じ時。,,,,
投手,とうしゅ,野球でボールを投げる人。,,,,
当番,とうばん,交代で仕事の番に当たる人。,,,,
動物,どうぶつ,生き物のなかま。けもの、鳥など。,,,,
道路,どうろ,人や車などが通る道。,,,,
童話,どうわ,子どものための話。,,,,
都会,とかい,人がおおぜい住んでいる大きな町。,,,,
時計,とけい,時をしめしたり、計ったりするきかい。,,,,
登山,とざん,山に登ること。,,,,
図書,としょ,本。書物。,,,図書室で本をかりる。,図書係になる。
土地,とち,まとまった広さの場所。,,,,
問屋,とんや,品物を作る人から買い、売る人に売る店。,問屋は「といや」とも読む。,,,
中庭,なかにわ,たてものにかこまれた庭。,,,,
名前,なまえ,他と区別するためにつける呼び名。,,,,
日時,にちじ,日づけと時刻。,,,,
日記,にっき,毎日書いておくもの。,,,日記をつける。,兄が日記を書く。
日光,にっこう,太陽の光。,,,,
荷物,にもつ,持ち運んだり、送ったりするもの。,,,,
入学,にゅうがく,学ぶために学校に入ること。,,,今日は入学式だ。,学校に入学する。
入場,にゅうじょう,会場などに入ること。,,,,
人気,にんき,世間の人たちのよいひょうばん。,,,,
人形,にんぎょう,人のすがたをまねて作ったもの。,,,,
人間,にんげん,ひと。人類。,,,,
農業,のうぎょう,田畑で野菜などを作ったりする仕事。,,,,
売買,ばいばい,売ったり買ったりすること。,,,,
白米,はくまい,玄米をついて白くした米。,,,,
場所,ばしょ,所。いどころ。,,,,
畑作,はたさく,畑で野菜などを作ること。,,,,
発見,はっけん,はじめて見つけ出すこと。,,,,
発電,はつでん,電気を起こすこと。,,,,
発表,はっぴょう,多くの人に知らせること。,,,,
発明,はつめい,今までなかったものを考え出すこと。,,,,
鼻歌,はなうた,鼻にかかったひくい声で歌う歌。,,,,
鼻血,はなぢ,鼻から流れ出る血。,,,,
花畑,はなばたけ,草花などの畑。,,,,
番号,ばんごう,順番などをしめした数字。,,,,
半島,はんとう,海につき出た陸地。,,,,
半分,はんぶん,同じくらいに二つに分けた一つ。,,,,
美化,びか,きれいにすること。,,,,
左手,ひだりて,左の手。,,,,
人気,ひとけ,人がいるらしい感じ。,,,,
悲鳴,ひめい,怖かったりおどろいたりした時に出す、さけび声。,,,,
病院,びょういん,病人やけが人を診察したり、治療したりする所。,,,,
病気,びょうき,体の具合が悪くなること。,,,,
氷山,ひょうざん,大きな氷のかたまり。,,,,
表紙,ひょうし,本などの外側のあついおおい。,,,,
平等,びょうどう,みなが同じ様子。,,,,
昼間,ひるま,日の出から日の入りまで。,,,,
筆箱,ふでばこ,筆記用具を入れる入れ物。,,,筆箱をわすれる。,筆箱からえんぴつを出す。
部分,ぶぶん,全体をいくつかに分けたうちの一つ。,,,,
文集,ぶんしゅう,作文などを集めて本にしたもの。,,,,
文章,ぶんしょう,文字を使って表したもの。文。,,,文章を書く。,長い文章を読む。
平成,へいせい,昭和のあとにつづく年号。,,平成の「成」は小学校4年生で習う漢字ですので、「平」をしっかりと読み書きできるようにしましょう。,,
平和,へいわ,たたかいがなく、世の中がおだやかであること。,,,,
部屋,へや,家をいくつかに仕切ったもの。,,,,
勉学,べんがく,一生けんめい学ぶこと。,,,,
勉強,べんきょう,知識などをえること。,,,,
返事,へんじ,よびかけや質問に答えること。,,,,
方向,ほうこう,前後・左右などの向き。,,,,
放送,ほうそう,テレビやラジオなどの番組を送ること。,,,,
本州,ほんしゅう,日本列島の中心となっている島。,,,,
本屋,ほんや,本などを売る店。,,,,
丸太,まるた,枝を切り落とした木材。,,,,
右手,みぎて,右の手。,,,,
身近,みぢか,自分にかんけいが深いこと。,,,,
港町,みなとまち,港を中心にさかえている町。,,,,
昔話,むかしばなし,昔あったことの話。,,,,
明治,めいじ,昔の年号。大正の前の年号。,,,,
名人,めいじん,とくべつすぐれた能力をもつ人。,,,,
目玉,めだま,目のたま。,,,,
目次,もくじ,そのページに何があるかしめしたもの。,,,,
物語,ものがたり,すじのある話。,,,,
問題,もんだい,答えをもとめる問い。,,,,
野球,やきゅう,球技の一つ。バットとボールを使う。,,,野球の練習をする。,野球は楽しいスポーツだ。
役所,やくしょ,おおやけの仕事をする所。,,,,
薬品,やくひん,薬のこと。,,,,
野鳥,やちょう,野山にすむ鳥。,,,,
屋根,やね,たてものの一番上のおおい。,,,,
山道,やまみち,山の中の小さな道。,,,,
夕方,ゆうがた,日がくれるころ。,,,,
夕食,ゆうしょく,夕方の食事。,,,,
有名,ゆうめい,広く世の中に知られている。,,,,
湯気,ゆげ,水蒸気がひえて、白く見えるもの。,,,,
陽気,ようき,明るくほがらかな様子。,,,,
用具,ようぐ,あることをするのに使う道具。,,,,
用事,ようじ,しなければならないこと。,,,,
洋食,ようしょく,西洋風の食事。,,,,
様子,ようす,ものごとのありさま。,,,,
曜日,ようび,一週間のそれぞれの日。,,,,
洋服,ようふく,西洋からつたわった服。,,,,
羊毛,ようもう,羊からとった毛。,,,,
予想,よそう,前もってこうではないかと考えること。,,,,
予定,よてい,前もって決めたことがら。,,,,
夜中,よなか,夜おそく。夜ふけ。,,,,
理科,りか,自然のことについて学ぶ教科。,,,,
理由,りゆう,そのようになったわけ。,,,,
流行,りゅうこう,一時的に世の中につたわり広まること。,,,,
流氷,りゅうひょう,氷山がわれたりして流れてきた氷。,,,,
両足,りょうあし,左右両方の足。,,,,
両親,りょうしん,父親と母親。,,,,
両手,りょうて,両方の手。,,,,
旅館,りょかん,旅行している人をとめる所。,,,,
緑茶,りょくちゃ,緑色の茶。,,,,
旅行,りょこう,旅をすること。,,,,
礼金,れいきん,お礼のためにしはらうお金。,,,,
列島,れっとう,長くつらなっている島々。,,,,
練習,れんしゅう,くりかえし習うこと。,,,,
和食,わしょく,和風の食事。,,,,
和服,わふく,昔からある、わが国どくとくの服。,,,,
