term,furigana,definition,notes,warnings,example1,example2
相手,あいて,いっしょにするときの一方の人。,,,,
青空,あおぞら,よく晴れた空。,,,,
悪人,あくにん,心や行いの悪い人。,,,,
明日,あす,今日の次の日。,明日は「みょうにち」とも読む。,,,
雨具,あまぐ,雨のときに使うもの。かさ、レインコートなど。,,,,
雨戸,あまど,まどの外側にある戸。,,,,
暗記,あんき,見ないで言えるように、おぼえること。,,,九九を暗記する。,電話番号を暗記する。
安心,あんしん,心配がなく、落ちついている。,,,,
医院,いいん,医者が病気やけがをなおす所。病院より、規模の小さいものを言う。,,,,
委員,いいん,えらばれて仕事をまかされた人。,,,,
家路,いえじ,自分の家に帰る道。,,,,
意外,いがい,思っていたことと全くちがう様子。,,,,
医学,いがく,病気をなおす研究などの学問。,,,,
意見,いけん,自分の考え。,,,,
医者,いしゃ,病気やけがの診察やちりょうをする人。,,,,
一生,いっしょう,生まれてから死ぬまで。,,,,
一定,いってい,定まっていて、変わらないこと。,,,,
飲食,いんしょく,食べたり飲んだりすること。,,,,
引力,いんりょく,ものとものが、たがいに引き合う力。,,,,
雨天,うてん,雨ふりの天気。,,,,
上着,うわぎ,いちばん外側に着る服。,,,,
運転,うんてん,きかいなどを働かせること。,,,,
運動,うんどう,けんこうのために、体を動かすこと。,,,ぼくは運動おんちだ。,運動で体をきたえる。
運命,うんめい,その人をしはいするめぐり合わせ。将来のなりゆき。,,,,
駅員,えきいん,駅ではたらく人。,,,,
絵本,えほん,絵を中心にかかれた本。,,,,
遠足,えんそく,遠くまで出かけること。,,,今日は遠足の日。,バスで遠足に行く。
王様,おうさま,「王」をうやまった言い方。,,,,
小川,おがわ,小さい川。,,,,
屋外,おくがい,たてものの外。,,,,
屋上,おくじょう,屋根の上。,,,,
屋内,おくない,たてものの中。,,,,
親指,おやゆび,いちばんはしにある太い指。,,,,
音楽,おんがく,声や楽器で表すことを学ぶ科目。,,,美しい音楽が聞こえる。,音楽をかなでる。
温度,おんど,あたたかさ、つめたさの度合い。,,,,
開会,かいかい,会を始めること。,,,,
海外,かいがい,海の向こうの外国。,,,,
海岸,かいがん,海とりくとのさかい目。,,,,
外国,がいこく,よその国。,,,,
開始,かいし,ものごとを始めること。,,,,
会社,かいしゃ,お金をもうけるための団体。,,,,
会場,かいじょう,会を開く場所。,,,,
海水,かいすい,海の水。,,,,
会談,かいだん,何人かが集まって話し合うこと。,,,,
開店,かいてん,商売を始めること。,,,,
回転,かいてん,くるくる回ること。,,,,
回答,かいとう,質問などに答えること。,,,,
会話,かいわ,人と話しすること。,,,,
家屋,かおく,人が住むたてもの。,,,,
学者,がくしゃ,学問の研究をする人。,,,,
学習,がくしゅう,学校などで学ぶこと。,,,,
学問,がくもん,学び習うこと。,,,,
火山,かざん,地中からふき出した、よう岩などによりできた山。,,,,
火星,かせい,地球のすぐ外側を回るわく星。,,,,
化石,かせき,昔の生き物のあとが残ったもの。,,,,
家族,かぞく,同じ家にくらす親子・夫婦など。,,,,
学級,がっきゅう,児童・生徒をある人数に分けたもの。クラス。,,,学級もくひょうを決める。,学級の係を決める。
学校,がっこう,先生が生徒に知識などを教える場所。,,,元気に学校へ行く。,学校でべんきょうする。
神様,かみさま,人々にあがめられえいるもの。,,,,
科目,かもく,学ぶことのしゅるい。,,,勉強の科目。,とくいな科目は国語だ。
川上,かわかみ,川の水が流れて来るほう。,,,,
川下,かわしも,川の水が流れて行くほう。,,,,
漢字,かんじ,中国で作られた文字。,,,漢字をおぼえる。,漢字を書く。
元日,がんじつ,一年のはじめの日。,,,,
感心,かんしん,すぐれている、ほめてあげたいなどと思うこと。,,,,
岩石,がんせき,大きな石のかたまり。,,,,
感動,かんどう,強く心が動かされること。,,,,
顔面,がんめん,顔の表面。,,,,
気温,きおん,空気の温度。,,,,
期間,きかん,決められた時の間。,,,,
記号,きごう,あることを表すためのしるし。,,,,
記事,きじ,出来事を伝えるための文章。,,,,
汽車,きしゃ,きかん車が引いてレールの上を走る乗り物。,,,,
記者,きしゃ,記事を集めたり書いたりする人。,,,,
気体,きたい,空気やガスなどのように、決まった形や大きさをもたないもの。,,,,
期待,きたい,そうなることを、望んで待つこと。,,,,
切手,きって,ゆうびん物にはるもの。料金をはらったことのしるし。,,,,
汽笛,きてき,蒸気の力で鳴らす笛。,,,,
起点,きてん,始まりのところ。,,,,
記入,きにゅう,書き入れること。,,,,
着物,きもの,体に着るもの。,,,,
急行,きゅうこう,急いで行くこと。,,,,
九州,きゅうしゅう,日本列島のうちの南西の島。,,,,
今日,きょう,今、すごしているこの日。,今日は「こんにち」とも読む。,,,
教室,きょうしつ,みんなで学ぶ部屋。,,,教室のそうじ。,三年生の教室。
兄弟,きょうだい,同じ親から生まれた男の子。,,,,
京都,きょうと,近畿地方の都市。昔の都。,,,,
行列,ぎょうれつ,多くの人がじゅんじょよくならぶこと。,,,,
曲線,きょくせん,曲がった線。,,,,
去年,きょねん,今年の前の年。,,,,
起立,きりつ,席から立ち上がること。,,,みんなが起立する。,
金魚,きんぎょ,魚の一つ。見て楽しむ魚。,,,,
金庫,きんこ,お金や大切なものをしまっておく箱。,,,,
銀行,ぎんこう,お金をあずかったり、かしたりする所。,,,,
近所,きんじょ,自分の家から近い所。,,,,
空気,くうき,地球をつつんでいる気体。,,,,
空港,くうこう,ひこうきが飛び立ったりおりたりする所。,,,,
空中,くうちゅう,大空の中。,,,,
区間,くかん,ある区切られた間。,,,,
草花,くさばな,花のさく草。,,,,
苦心,くしん,いろいろ考えて苦労すること。,,,,
口調,くちょう,言葉を話すときの調子。,,,,
計画,けいかく,方法や予定などを考えること。,,,,
計算,けいさん,数を数えたり量をはかったりすること。,,,,
軽食,けいしょく,かんたんに食べることができる食事。,,,,
毛糸,けいと,羊の毛などをより合わせて作った糸。,,,,
下校,げこう,学校から家へ帰ること。,,,登校と下校。,下校の時間。
今朝,けさ,今日の朝。,,,,
下山,げざん,登った山から下りること。,,,,
家来,けらい,主人に使える者。,,,,
元気,げんき,体の調子がよいこと。,,,,
研究,けんきゅう,くわしく調べて明らかにすること。,,,,
県立,けんりつ,県がつくり、運営するもの。,,,,
小石,こいし,小さな石。,,,,
子犬,こいぬ,子どもの犬。,,,,
幸運,こううん,運がいいこと。幸せなめぐり合わせ。,,,,
公園,こうえん,人々が休んだり、楽しんだりする場所。,,,,
合計,ごうけい,全部をくわえた数。,,,,
工事,こうじ,たてものや道路などをつくったりすること。,,,,
工場,こうじょう,きかいなどを使い、ものを作ったりする所。,工場は「こうば」とも読む。,,,
高速,こうそく,速度がとても速いこと。,,,,
交代,こうたい,入れかわること。,,,,
校長,こうちょう,学校全体のせきにんをもつ人。,,,,
校庭,こうてい,学校の中の広場・運動場。,,,校庭で遊ぶ。,校庭を走る。
行動,こうどう,あることを行うこと。,,,,
幸福,こうふく,めぐまれていて、心が満ち足りている様子。,,,,
公平,こうへい,考えなどがかたよらないこと。,,,,
国語,こくご,国の言葉を学ぶ科目。,,,国語がとくいな姉。,次のじゅぎょうは国語。
国内,こくない,その国の中。,,,,
黒板,こくばん,チョークで書くための黒や緑の板。,,,黒板をそうじする。,黒板に字を書く。
午後,ごご,昼の12時から夜の12時まで。,,,,
午前,ごぜん,夜中の12時から昼の12時まで。,,,,
